City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Muroto,JP,76.86,clear sky,33.2833,134.15,
335,Korla,CN,80.69,few clouds,41.7597,86.1469,
337,Kupang,ID,77.11,overcast clouds,-10.1667,123.5833,
340,Ribeira Brava,PT,77.72,few clouds,32.65,-17.0667,
346,Caravelas,BR,82.2,clear sky,-17.7125,-39.2481,
355,Machhlishahr,IN,84.15,heavy intensity rain,25.6833,82.4167,
358,Ishigaki,JP,83.82,clear sky,24.3448,124.1572,
363,Samarai,PG,77.86,overcast clouds,-10.6167,150.6667,
366,Bafra,TR,76.78,scattered clouds,41.5678,35.9069,
370,Cukai,MY,79.12,overcast clouds,4.25,103.4167,
372,Sinnamary,GF,85.26,broken clouds,5.3833,-52.95,
375,Vinh Long,VN,76.98,overcast clouds,10.25,105.9667,
376,Tripoli,LY,87.31,clear sky,32.8752,13.1875,
377,Tonj,SS,83.95,broken clouds,7.2737,28.6822,
381,Houma,US,86.0,clear sky,29.5958,-90.7195,
383,Aloleng,PH,81.25,scattered clouds,16.1307,119.7824,
384,Mao,ES,75.76,broken clouds,39.8885,4.2658,
385,Lang Suan,TH,76.26,light rain,9.9456,99.0785,
386,Mandal,IN,79.27,light rain,25.45,74.5667,
387,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,
389,Kasama,ZM,85.37,clear sky,-10.2129,31.1808,
390,Luangwa,ZM,85.37,clear sky,-15.6167,30.4167,
391,Kingston,JM,82.15,overcast clouds,17.997,-76.7936,
398,Ende,ID,77.05,overcast clouds,-8.8432,121.6623,
407,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,
411,Kilis,TR,88.03,clear sky,36.7161,37.115,
412,Raga,SS,80.2,light rain,8.4596,25.678,
414,Shirpur,IN,79.92,overcast clouds,21.35,74.8833,
417,Cockburn Town,TC,83.08,overcast clouds,21.4612,-71.1419,
418,Areado,BR,89.44,scattered clouds,-21.3586,-46.1456,
419,Mahon,ES,75.76,broken clouds,39.8885,4.2658,
434,Phalaborwa,ZA,88.88,clear sky,-23.943,31.1411,
435,Palaikastron,GR,81.9,clear sky,35.2,26.25,
438,Fez,MA,88.05,few clouds,34.0372,-4.9998,
445,Russell,US,78.08,overcast clouds,32.3502,-85.1999,
449,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,
451,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,
460,Rabat,MA,81.05,scattered clouds,33.9911,-6.8401,
462,Bandarbeyla,SO,77.32,overcast clouds,9.4942,50.8122,
465,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,
471,Tautira,PF,77.02,scattered clouds,-17.7333,-149.15,
474,Cururupu,BR,89.1,scattered clouds,-1.8283,-44.8683,
476,Kodinar,IN,80.37,scattered clouds,20.7903,70.7031,
481,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,
485,Kalianget,ID,81.34,overcast clouds,-7.05,113.9333,
487,Soyo,AO,77.79,few clouds,-6.1349,12.3689,
488,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,
489,Mbekenyera,TZ,78.28,broken clouds,-10.0,38.9833,
492,Barra Patuca,HN,84.61,broken clouds,15.8,-84.2833,
493,Zanjan,IR,78.49,clear sky,36.6736,48.4787,
494,San Lazaro,BZ,87.51,scattered clouds,18.0387,-88.6622,
496,Barroquinha,BR,87.58,few clouds,-3.0189,-41.1361,
