City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Buala,SB,-8.145,159.5921,79.38,84,99,9.71,light rain
147,Roshchino,RU,60.2519,29.6085,44.37,60,100,13.71,light rain
148,Alugan,PH,12.2188,125.4808,79.52,84,100,7.9,overcast clouds
149,Conde,BR,-7.2597,-34.9075,83.66,58,75,12.66,broken clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,40,19.57,scattered clouds
151,Cidreira,BR,-30.1811,-50.2056,71.73,82,74,4.16,broken clouds
152,Pimentel,PE,-6.8367,-79.9342,68.29,64,20,9.22,few clouds
153,Maldonado,UY,-34.6667,-54.9167,60.19,94,100,12.91,overcast clouds
154,Ilebo,CD,-4.3167,20.5833,95.92,29,51,2.21,broken clouds
155,Shiraz,IR,29.6036,52.5388,85.44,9,20,6.91,few clouds
156,Sembe,CG,1.6481,14.5806,85.91,60,69,0.85,broken clouds
157,Carnarvon,AU,-24.8667,113.6333,75.27,14,0,14.97,clear sky
158,Georgetown,MY,5.4112,100.3354,78.89,90,20,0.0,few clouds
159,Srednekolymsk,RU,67.45,153.6833,27.46,80,100,15.03,overcast clouds
160,Lorengau,PG,-2.0226,147.2712,79.81,79,100,3.15,light rain
161,Binabalian,PH,16.4202,119.9279,83.39,76,53,5.39,broken clouds
162,Taltal,CL,-25.4,-70.4833,63.01,67,29,6.6,scattered clouds
163,Pullman,US,46.7313,-117.1796,53.83,83,40,4.0,scattered clouds
164,Shimoda,JP,34.6667,138.95,69.76,81,2,15.55,clear sky
165,Bow Island,CA,49.8668,-111.3684,47.62,58,36,0.69,scattered clouds
166,Svetlogorsk,BY,52.6333,29.7333,42.64,93,100,10.18,overcast clouds
167,Airai,TL,-8.9266,125.4092,58.03,65,77,3.36,broken clouds
168,Dicabisagan,PH,17.0818,122.4157,79.92,86,91,0.58,overcast clouds
169,Nanortalik,GL,60.1432,-45.2371,37.63,79,12,15.08,few clouds
170,Bethel,US,41.3712,-73.414,73.92,76,1,4.61,clear sky
171,Yasinya,UA,48.2794,24.3604,47.17,81,100,1.01,overcast clouds
172,Kalmunai,LK,7.4167,81.8167,81.88,79,42,10.6,scattered clouds
173,Upernavik,GL,72.7868,-56.1549,28.6,84,100,12.77,light snow
174,Gebre Guracha,ET,9.8,38.4,61.05,74,40,1.19,scattered clouds
175,Paita,PE,-5.0892,-81.1144,72.16,69,8,12.75,clear sky
176,Bairiki,KI,1.3292,172.9752,80.74,81,23,11.36,light rain
177,Lata,PT,40.1629,-8.3327,81.36,32,0,9.57,clear sky
178,Wanxian,CN,30.8039,108.3897,72.37,82,0,1.81,light rain
179,Vanimo,PG,-2.6741,141.3028,77.95,87,86,4.05,overcast clouds
180,Ust-Kuyga,RU,70.0167,135.6,28.8,65,69,4.27,broken clouds
181,Sasovo,RU,54.3537,41.9199,43.39,91,100,19.51,overcast clouds
182,Katherine,AU,-14.4667,132.2667,75.52,50,90,4.61,overcast clouds
183,Acapulco,MX,16.8634,-99.8901,84.02,70,1,6.91,clear sky
184,Castro,BR,-24.7911,-50.0119,85.77,39,2,8.75,clear sky
185,Samfya,ZM,-11.3649,29.5565,85.55,21,0,3.98,clear sky
186,Viedma,AR,-40.8135,-62.9967,63.93,25,0,11.63,clear sky
187,Rennes,FR,48.1667,-1.6667,69.19,56,40,13.8,scattered clouds
188,Leningradskiy,RU,69.3833,178.4167,20.46,85,100,10.65,overcast clouds
189,Dzemul,MX,21.2,-89.3,85.05,55,26,6.08,scattered clouds
190,Pakxan,LA,18.3778,103.6601,75.58,92,60,2.57,broken clouds
191,Newport,GB,51.5877,-2.9984,72.99,55,2,3.87,clear sky
