City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,Udachnyy,66.4167,112.4,44.55,63,100,12.01,RU,2021-09-15 04:35:26
106,Talnakh,69.4865,88.3972,40.01,94,100,8.99,RU,2021-09-15 04:35:27
107,Ixtapa,20.7,-105.2,78.22,92,99,2.3,MX,2021-09-15 04:35:27
108,Bilma,18.6853,12.9164,86.14,20,0,8.16,NE,2021-09-15 04:35:27
109,La Asuncion,11.0333,-63.8628,82.13,89,3,9.22,VE,2021-09-15 04:35:27
110,Luau,-10.7073,22.2247,70.12,49,88,3.49,AO,2021-09-15 04:35:28
111,Salalah,17.0151,54.0924,80.69,89,75,5.75,OM,2021-09-15 04:35:28
112,Maebaru,33.55,130.2,83.86,83,94,12.37,JP,2021-09-15 04:35:28
113,Alexandria,31.2156,29.9553,76.96,65,40,4.61,EG,2021-09-15 04:35:28
114,Narasannapeta,18.4167,84.05,87.84,71,94,11.1,IN,2021-09-15 04:35:29
115,Ponta Do Sol,32.6667,-17.1,73.71,75,32,6.69,PT,2021-09-15 04:35:29
116,Tonj,7.2737,28.6822,71.47,93,94,0.81,SS,2021-09-15 04:35:29
117,Bengkulu,-3.8004,102.2655,83.91,65,95,6.06,ID,2021-09-15 04:35:30
118,Yellowknife,62.456,-114.3525,50.52,100,90,6.91,CA,2021-09-15 04:34:22
119,Rundu,-17.9333,19.7667,62.04,23,3,5.28,NA,2021-09-15 04:35:30
120,Labrea,-7.2586,-64.7981,76.51,62,1,2.17,BR,2021-09-15 04:35:30
121,Vaini,-21.2,-175.2,80.76,83,20,9.22,TO,2021-09-15 04:35:30
122,Farafangana,-22.8167,47.8333,71.31,82,15,8.52,MG,2021-09-15 04:35:31
123,Abashiri,44.0213,144.2697,64.69,55,20,8.05,JP,2021-09-15 04:35:31
124,Coihaique,-45.5752,-72.0662,44.55,81,75,4.61,CL,2021-09-15 04:31:21
125,Umm Lajj,25.0213,37.2685,87.53,45,8,8.25,SA,2021-09-15 04:35:31
126,Hermanus,-34.4187,19.2345,51.91,58,76,1.52,ZA,2021-09-15 04:35:32
127,Ucluelet,48.9329,-125.5528,61.09,94,99,8.34,CA,2021-09-15 04:35:00
128,Ancud,-41.8697,-73.8203,48.42,91,97,12.12,CL,2021-09-15 04:31:33
129,Cayenne,4.9333,-52.3333,82.09,84,0,1.01,GF,2021-09-15 04:35:32
130,Lebu,-37.6167,-73.65,47.37,79,98,7.4,CL,2021-09-15 04:35:32
131,Tabou,4.423,-7.3528,75.09,94,100,7.67,CI,2021-09-15 04:35:33
132,Khokhryaki,56.9156,53.3221,49.05,88,93,3.13,RU,2021-09-15 04:35:33
133,Coquimbo,-29.9533,-71.3436,49.73,87,0,2.3,CL,2021-09-15 04:33:16
134,Richards Bay,-28.783,32.0377,69.49,83,44,13.18,ZA,2021-09-15 04:35:33
135,Tiksi,71.6872,128.8694,39.38,94,100,10.33,RU,2021-09-15 04:35:33
